Parametros/modelos;reta;parabola;curtis;stofells;hericksen;gompertz;logistico;chapman_richards;Estrato
b0;7.607188255393182;10.562727462353855;3.363258179889504;1.4617898591868452;-8.104828329414147;24.0;590.0128027493892;1826.1872532459347;PR1T1
b1;0.7556396141259897;0.33335463659917336;-6.169616256757849;0.5471317169925062;10.067793925530522;0.1;56.93289047818918;2.6937385501705756e-05;PR1T1
b2;;0.01446938598966245;;;;0.1;0.04192125900161495;0.5840535208097599;PR1T1
b0;7.716644889487044;5.2461030557520445;3.523566225469877;1.365509453389306;-11.230942434180747;36.22533188205098;31.9624974692711;324.93030525992225;PR1T2
b1;0.8090612618753354;1.1507988694947364;-7.817100683885329;0.5996847205299283;11.596956313458936;0.5201306579119133;3.1953224609435646;0.0006777591738728472;PR1T2
b2;;-0.011183157486641927;;;;0.06937414104231436;0.1117139490753518;0.6070318242621016;PR1T2
b0;7.095244143721592;11.069399419974697;3.769070882957319;1.3328384924298144;-17.33087965065566;908.8251848625989;108.35619972440038;4115.409240488145;PR2T3
b1;1.128542843027725;0.5542265280496208;-8.745457156853597;0.6808147904827642;15.367944228451382;1.4905721780395473;8.963861599907595;3.9633255568844026e-05;PR2T3
b2;;0.019988089725144487;;;;0.013255380497412695;0.06198745321297072;0.6919640924141326;PR2T3
b0;8.112898743462534;7.256963413608184;3.763051368903817;1.3451640181289883;-18.778854443189935;57.97913295891599;45.918273187448506;3801.644514587074;PR2T4
b1;0.970432851799357;1.0743236030410965;-9.048473643552645;0.6565374521713994;15.55750492947899;0.6451787843621776;3.907796848372899;3.153156836367214e-05;PR2T4
b2;;-0.002921452094538315;;;;0.047229948972004165;0.08901303878028814;0.6680375526443147;PR2T4
b0;5.080406286227774;4.355202065981002;3.7382196731928516;1.027233963207252;-20.675292426188413;53.77191108908118;42.39045946911624;6273.131362153412;PR2T5
b1;1.138411164358212;1.238033064015281;-9.225389087730122;0.7638648229136406;16.064554867248145;0.7706966687506185;4.956360976931421;4.383873908341176e-05;PR2T5
b2;;-0.0031814480416988877;;;;0.05961432737824737;0.11312339660439014;0.7696447951309412;PR2T5
b0;9.74904746982182;8.71071265262146;3.6944829803196946;1.5056624342001745;-13.913652623647135;52.75458977984924;42.974942497375146;1544.1504490680172;PR2T6
b1;0.7948171972130503;0.9190519974065066;-9.021108525906117;0.5802969968303977;13.250347023349129;0.517219883821486;3.082394818432515;4.289182871727419e-05;PR2T6
b2;;-0.003519192751960984;;;;0.04234290672275965;0.07622537948696512;0.579840298789579;PR2T6
b0;4.8907519921716816;12.416088744088672;3.5344258461413984;1.110224214033803;-16.163193886445217;24.0;29884964.025781482;7897.324557620646;PR3T7
b1;0.9504233684746857;-0.07694533757151106;-8.489775343963165;0.6807492372815455;13.168647966547148;0.1;3311880.7440889;2.2608381267475048e-05;PR3T7
b2;;0.03340139054627554;;;;0.1;0.049238333929174295;0.7532884590194434;PR3T7
b0;2.3431801296216825;24.775309687195023;3.81930405949309;0.8997746749506128;-26.614455324942043;24.0;27014359.894208044;34533.82285774205;PR3T8
b1;1.3691478059907982;-1.8522139165102214;-10.331699508978652;0.8203225522031943;18.393170228972874;0.1;3119796.229004202;2.2608549253546546e-05;PR3T8
b2;;0.11098288354654821;;;;0.1;0.06371299633989888;0.9159574824688069;PR3T8
b0;11.725862535212453;13.399767412689158;3.5963929563015062;1.9030986117092343;-6.666073892800008;107.44771043248514;55.620378912769986;1104.2253889847193;PR4T9
b1;0.8647760135657022;0.6301377529500282;-5.713214254111675;0.4817292644644462;11.663262908927656;0.746580310769263;3.268314318076797;3.986199470403588e-05;PR4T9
b2;;0.007952783841664198;;;;0.024007143459246223;0.0638398994913383;0.5114324959470202;PR4T9
b0;8.630754324778435;21.54974929424259;3.562820063058229;1.5890058122455921;-10.279265184610857;24.0;49397806.8652005;2242.4474266586417;PR4T10
b1;0.8750647840046974;-0.9504209715392143;-7.08923473087943;0.5511292437171911;11.912377698961514;0.1;4279776.554110795;2.7617755230021774e-05;PR4T10
b2;;0.06216022608277358;;;;0.1;0.041803692970249155;0.5945843549271848;PR4T10
b0;2.0569406667726686;6.952110963815204;3.5194189570012107;0.7450805152366339;-17.00686638443571;287.97505032239076;62.39650585440413;30020.7209554072;PR5T11
b1;1.1642700931325896;0.3565711283756201;-8.29853134542442;0.8189688736572545;13.613245729253732;1.3580271256537324;9.33717049303284;1.8390466558265968e-05;PR5T11
b2;;0.03044023654959621;;;;0.024136251098275278;0.09510761984391691;0.8949783200839124;PR5T11
