parcela,especie,dap
5,Stenocalyx dysentericus,10.5
3,Dimorphandra mollis,13.37
6,Stenocalyx dysentericus,16.87
5,Aspidosperma subincanum Mart,13.05
2,Schinus terebinthifolia,15.92
1,Stenocalyx dysentericus,10.19
6,Stenocalyx dysentericus,12.1
2,Stenocalyx dysentericus,12.1
5,Byrsonima coccolobifolia,11.14
3,Pterodon emarginatus,14.01
2,Pterodon emarginatus,12.1
2,Dimorphandra mollis,37.56
6,Stenocalyx dysentericus,11.14
2,Schinus terebinthifolia,25.46
2,Pterodon emarginatus,7.64
5,Dimorphandra mollis,13.69
6,Stenocalyx dysentericus,13.37
1,Stenocalyx dysentericus,16.87
2,Astronium fraxinifolium,14.32
2,Pterodon emarginatus,20.69
2,Stenocalyx dysentericus,14.01
2,N1,14.64
6,Stenocalyx dysentericus,15.28
3,Qualea grandiflora Mart,20.05
2,Stenocalyx dysentericus,13.69
2,N1,11.46
3,Pterodon emarginatus,7.32
2,Caryocar brasiliensis,12.1
1,Stenocalyx dysentericus,13.37
3,Pterodon emarginatus,16.87
2,Stenocalyx dysentericus,15.28
2,Dalbergia miscolobium,14.64
5,Stenocalyx dysentericus,6.68
1,Alibertia edulis,15.6
1,Schinus terebinthifolia,8.91
3,Astronium fraxinifolium,15.28
3,Schinus terebinthifolia,12.73
5,Stenocalyx dysentericus,14.64
5,Brosimum gaudichaudii,30.88
3,Astronium fraxinifolium,15.28
1,N1,14.64
3,Astronium fraxinifolium,14.32
5,Stenocalyx dysentericus,12.41
5,Schinus terebinthifolia,12.73
1,Schinus terebinthifolia,8.91
5,Caryocar brasiliensis,9.23
5,Astronium fraxinifolium,17.51
3,Dalbergia miscolobium,21.65
6,Stenocalyx dysentericus,21.65
3,Astronium fraxinifolium,14.32
6,Astronium fraxinifolium,10.19
6,Stenocalyx dysentericus,15.6
2,Stenocalyx dysentericus,14.64
6,Stenocalyx dysentericus,8.28
3,Caryocar brasiliensis,12.41
6,Stenocalyx dysentericus,12.73
1,Stenocalyx dysentericus,14.96
3,Pterodon emarginatus,18.46
3,Pterodon emarginatus,16.55
6,Astronium fraxinifolium,26.74
5,Dimorphandra mollis,9.87
5,Stenocalyx dysentericus,12.41
1,Schinus terebinthifolia,9.87
5,Schinus terebinthifolia,14.32
3,N1,21.96
1,Schinus terebinthifolia,14.64
6,Stenocalyx dysentericus,14.01
5,Schinus terebinthifolia,7.32
1,Qualea grandiflora mart,13.37
1,Stenocalyx dysentericus,11.46
3,Qualea grandiflora Mart,21.33
5,Stenocalyx dysentericus,14.96
1,Stenocalyx dysentericus,12.41
2,Stenocalyx dysentericus,17.83
1,Stenocalyx dysentericus,14.32
3,Caryocar brasiliensis,17.83
1,Stenocalyx dysentericus,18.14
5,Astronium fraxinifolium,15.92
5,Stenocalyx dysentericus,12.73
5,Schinus terebinthifolia,13.05
1,Stenocalyx dysentericus,13.37
5,Stenocalyx dysentericus,9.55
6,Stenocalyx dysentericus,11.78
3,Astronium fraxinifolium,12.73
6,Stenocalyx dysentericus,14.64
5,Pterodon emarginatus,9.55
5,Stenocalyx dysentericus,9.87
3,Astronium fraxinifolium,14.32
5,Stenocalyx dysentericus,13.37
3,Astronium fraxinifolium,14.64
6,Stenocalyx dysentericus,12.73
5,Stenocalyx dysentericus,11.14
5,Caryocar brasiliensis,10.19
3,Qualea grandiflora Mart,27.37
2,Pterodon emarginatus,11.14
6,Stenocalyx dysentericus,10.5
3,Pterodon emarginatus,24.83
6,Stenocalyx dysentericus,14.96
5,Dimorphandra mollis,9.55
1,N1,15.28
6,Stenocalyx dysentericus,14.01
2,Qualea grandiflora Mart,29.28
5,Schinus terebinthifolia,10.5
6,Stenocalyx dysentericus,14.32
3,Pterodon emarginatus,11.14
2,Stenocalyx dysentericus,14.01
5,Xylopia brasiliensis,33.42
6,Stenocalyx dysentericus,29.92
2,Pterodon emarginatus,21.65
2,Curatella americana Lineus,20.37
6,Stenocalyx dysentericus,12.1
6,Stenocalyx dysentericus,15.92
3,Pterodon emarginatus,7.32
6,Stenocalyx dysentericus,10.5
6,Stenocalyx dysentericus,9.55
2,Stenocalyx dysentericus,10.19
1,Brosimum gaudichaudii,10.5
6,Stenocalyx dysentericus,17.51
5,Stenocalyx dysentericus,10.19
2,Kielmeyera coriacea Mart. & Zucc.,9.23
5,Stenocalyx dysentericus,7.64
1,Stenocalyx dysentericus,15.6
3,Pterodon emarginatus,8.59
5,Stenocalyx dysentericus,12.1
5,Brosimum gaudichaudii,8.28
6,Stenocalyx dysentericus,19.74
6,Stenocalyx dysentericus,14.64
6,Stenocalyx dysentericus,18.78
5,Dimorphandra mollis,22.92
1,Stenocalyx dysentericus,16.87
1,Caryocar brasiliensis,14.96
5,Byrsonima coccolobifolia,15.6
1,Stenocalyx dysentericus,12.1
